activation_conv_layer,activations_strategy_CNN,batch_size,data filename,dev accuracy 1,dev accuracy 2,dev accuracy 3,epochs,evaluation_metric_1,evaluation_metric_2,evaluation_metric_3,hidden_units_strategy_CNN,input_window_size,kernel_size,label_window_size,learning_rate,loss_function,max_pool_kernel_size,model filename,model type,num_filters,optimizer_type,plot filename,runtime,sample_stride,speed_bucket_size,train  accuracy 3,train accuracy 1,train accuracy 2,train accuracy 2.1,train dev accuracy 1
relu,tanh_,64.0,C:/Users/adam/Documents/Lumo/Lumo Data/TimeSeries_InputRaw_1000Runs_QuarterSample.csv,0.0,0.0,0.0,3.0,,,,50_,26.0,5.0,20.0,0.0001,categorical_crossentropy,5.0,20180912_001208,CNN,40.0,gradient,na,0.0,13.0,0.1,,0.0,0.0,0.0,
relu,tanh_,64.0,C:/Users/adam/Documents/Lumo/Lumo Data/TimeSeries_InputRaw_1000Runs_QuarterSample.csv,0.5824926284739845,0.11947368439875153,0.5424237341002414,3.0,class_mae,class_percent_2buckRange,class_mse,50_,26.0,5.0,20.0,0.0001,categorical_crossentropy,5.0,20180912_001427,CNN,40.0,gradient,na,10.391034364700316,13.0,0.1,0.5282048106718077,,0.12220592549353199,,0.581443912079342
relu,tanh_,64.0,C:/Users/adam/Documents/Lumo/Lumo Data/TimeSeries_InputRaw_1000Runs_QuarterSample.csv,0.5824926214469106,0.11947368439875153,0.5424237232459219,3.0,class_mae,class_percent_2buckRange,class_mse,50_,26.0,5.0,20.0,0.0001,categorical_crossentropy,5.0,20180912_003400,CNN,40.0,gradient,na,10.293092012405397,13.0,0.1,0.5282048076155179,,0.122205925493532,,0.5814439127157776
relu,tanh_,64.0,C:/Users/adam/Documents/Lumo/Lumo Data/TimeSeries_InputRaw_1000Runs_QuarterSample.csv,0.5824926194391753,0.11947368439875153,0.5424237362334603,3.0,class_mae,class_percent_2buckRange,class_mse,50_,26.0,5.0,20.0,0.0001,categorical_crossentropy,5.0,20180912_222936,CNN,40.0,gradient,na,17.644472599029537,13.0,0.1,0.5282048204071748,,0.12220592549353199,,0.5814439213321371
relu,tanh_,64.0,C:/Users/adam/Documents/Lumo/Lumo Data/TimeSeries_InputRaw_1000Runs_QuarterSample.csv,0.5824926378225025,0.11947368439875153,0.5424237440761767,3.0,class_mae,class_percent_2buckRange,class_mse,50_,26.0,5.0,20.0,0.0001,categorical_crossentropy,5.0,20180912_223330,CNN,40.0,gradient,na,10.78229832649231,13.0,0.1,0.5282048063076776,,0.122205925493532,,0.5814439069319065
relu,tanh_,64.0,C:/Users/adam/Documents/Lumo/Lumo Data/TimeSeries_InputRaw_1000Runs_QuarterSample.csv,0.17655479895441156,0.8073684210526316,0.0710820770263672,3.0,class_mae,class_percent_2buckRange,class_mse,50_,26.0,5.0,20.0,0.0001,categorical_crossentropy,5.0,20180912_231319,CNN,40.0,gradient,na,10.676393032073976,13.0,0.1,0.06470866107930183,,0.8058081549051116,,0.17106125457051144
relu,tanh_,64.0,C:/Users/adam/Documents/Lumo/Lumo Data/TimeSeries_InputRaw_1000Runs_QuarterSample.csv,0.1739157221819225,0.8099999994980661,0.0694152179987807,3.0,class_mae,class_percent_2buckRange,class_mse,50_,26.0,5.0,20.0,0.0001,categorical_crossentropy,5.0,20180912_231333,CNN,40.0,adam,na,11.59208631515503,13.0,0.1,0.0640953271470835,,0.8082722206135305,,0.17010648634714198
relu,tanh_,64.0,C:/Users/adam/Documents/Lumo/Lumo Data/TimeSeries_InputRaw_1000Runs_QuarterSample.csv,0.1757327254508671,0.8057894731822767,0.07123597502708436,3.0,class_mae,class_percent_2buckRange,class_mse,50_,26.0,5.0,20.0,0.0005,categorical_crossentropy,5.0,20180912_231346,CNN,40.0,gradient,na,12.88447117805481,13.0,0.1,0.06377227832496289,,0.8093869169984406,,0.16952315048191965
relu,tanh_,64.0,C:/Users/adam/Documents/Lumo/Lumo Data/TimeSeries_InputRaw_1000Runs_QuarterSample.csv,0.5811968364841059,0.13263157863365976,0.5405128015969929,3.0,class_mae,class_percent_2buckRange,class_mse,50_,26.0,5.0,20.0,0.0001,categorical_crossentropy,5.0,20180912_232904,CNN,40.0,gradient,na,8.668919801712036,13.0,0.1,0.5262177469234517,,0.13499559989053156,,0.5800993574088744
relu,tanh_,64.0,C:/Users/adam/Documents/Lumo/Lumo Data/TimeSeries_InputRaw_1000Runs_QuarterSample.csv,0.5709613526494879,0.2310526314534639,0.5267063671664188,3.0,class_mae,class_percent_2buckRange,class_mse,50_,26.0,5.0,20.0,0.0005,categorical_crossentropy,5.0,20180912_232915,CNN,40.0,gradient,na,9.000132083892822,13.0,0.1,0.5143876588932053,,0.22211792314898832,,0.5714902339477489
